source,target,edge_type,relation
"0_0","Transistor","contains",""
"0_0","BJT","contains",""
"0_0","Signal","contains",""
"0_0","Circuit","contains",""
"Transistor","0_0","related_to",""
"Transistor","0_1","related_to",""
"Transistor","0_2","related_to",""
"Transistor","0_3","related_to",""
"Transistor","0_4","related_to",""
"Transistor","2_0","related_to",""
"Transistor","3_0","related_to",""
"Transistor","3_1","related_to",""
"Transistor","4_0","related_to",""
"BJT","0_0","related_to",""
"BJT","0_1","related_to",""
"BJT","0_2","related_to",""
"BJT","0_3","related_to",""
"BJT","2_0","related_to",""
"BJT","3_0","related_to",""
"BJT","3_1","related_to",""
"BJT","4_0","related_to",""
"BJT","Beta","related_to","has_parameter"
"Signal","0_0","related_to",""
"Signal","0_3","related_to",""
"Signal","0_4","related_to",""
"Signal","0_6","related_to",""
"Signal","0_9","related_to",""
"Signal","0_11","related_to",""
"Signal","0_14","related_to",""
"Signal","2_0","related_to",""
"Signal","3_0","related_to",""
"Signal","4_0","related_to",""
"Signal","Filter","related_to","processed_by"
"Circuit","0_0","related_to",""
"Circuit","0_5","related_to",""
"Circuit","0_6","related_to",""
"Circuit","0_7","related_to",""
"Circuit","0_8","related_to",""
"Circuit","0_9","related_to",""
"Circuit","0_11","related_to",""
"Circuit","0_12","related_to",""
"Circuit","0_14","related_to",""
"Circuit","0_15","related_to",""
"Circuit","2_0","related_to",""
"Circuit","3_0","related_to",""
"Circuit","3_1","related_to",""
"Circuit","4_0","related_to",""
"Circuit","Resistor","contains","contains"
"0_1","Transistor","contains",""
"0_1","BJT","contains",""
"0_1","Beta","contains",""
"Beta","0_1","related_to",""
"Beta","0_2","related_to",""
"Beta","2_0","related_to",""
"Beta","3_0","related_to",""
"Beta","3_1","related_to",""
"Beta","4_0","related_to",""
"0_2","Transistor","contains",""
"0_2","BJT","contains",""
"0_2","Amplifier","contains",""
"0_2","Beta","contains",""
"Amplifier","0_2","related_to",""
"Amplifier","0_3","related_to",""
"Amplifier","0_11","related_to",""
"Amplifier","0_12","related_to",""
"Amplifier","0_13","related_to",""
"Amplifier","0_14","related_to",""
"Amplifier","2_0","related_to",""
"Amplifier","3_0","related_to",""
"Amplifier","4_0","related_to",""
"Amplifier","Transistor","uses","uses"
"0_3","Amplifier","contains",""
"0_3","Transistor","contains",""
"0_3","BJT","contains",""
"0_3","Signal","contains",""
"0_4","Transistor","contains",""
"0_4","Signal","contains",""
"0_5","Capacitor","contains",""
"0_5","Filter","contains",""
"0_5","Circuit","contains",""
"Capacitor","0_5","related_to",""
"Capacitor","0_6","related_to",""
"Capacitor","0_7","related_to",""
"Capacitor","0_16","related_to",""
"Capacitor","2_0","related_to",""
"Capacitor","3_0","related_to",""
"Capacitor","3_1","related_to",""
"Capacitor","4_0","related_to",""
"Filter","0_5","related_to",""
"Filter","0_7","related_to",""
"Filter","0_9","related_to",""
"Filter","0_10","related_to",""
"Filter","0_11","related_to",""
"Filter","0_16","related_to",""
"Filter","2_0","related_to",""
"Filter","3_0","related_to",""
"Filter","4_0","related_to",""
"0_6","Capacitor","contains",""
"0_6","Signal","contains",""
"0_6","Circuit","contains",""
"0_7","Capacitor","contains",""
"0_7","Filter","contains",""
"0_7","Circuit","contains",""
"0_8","Circuit","contains",""
"0_9","Filter","contains",""
"0_9","Signal","contains",""
"0_9","Circuit","contains",""
"0_10","Filter","contains",""
"0_11","Filter","contains",""
"0_11","Signal","contains",""
"0_11","Circuit","contains",""
"0_11","Amplifier","contains",""
"0_12","Amplifier","contains",""
"0_12","Circuit","contains",""
"0_13","Amplifier","contains",""
"0_14","Amplifier","contains",""
"0_14","Signal","contains",""
"0_14","Circuit","contains",""
"0_15","Circuit","contains",""
"0_16","Capacitor","contains",""
"0_16","Filter","contains",""
"2_0","Circuit","contains",""
"2_0","Communication System","contains",""
"2_0","Capacitor","contains",""
"2_0","Transistor","contains",""
"2_0","Signal","contains",""
"2_0","BJT","contains",""
"2_0","Filter","contains",""
"2_0","Amplifier","contains",""
"2_0","Resistor","contains",""
"2_0","Beta","contains",""
"Communication System","2_0","related_to",""
"Communication System","3_0","related_to",""
"Communication System","3_1","related_to",""
"Communication System","4_0","related_to",""
"Resistor","2_0","related_to",""
"Resistor","3_0","related_to",""
"Resistor","3_1","related_to",""
"Resistor","4_0","related_to",""
"3_0","Circuit","contains",""
"3_0","Communication System","contains",""
"3_0","Capacitor","contains",""
"3_0","Transistor","contains",""
"3_0","Signal","contains",""
"3_0","BJT","contains",""
"3_0","Filter","contains",""
"3_0","Amplifier","contains",""
"3_0","Resistor","contains",""
"3_0","Beta","contains",""
"3_1","Circuit","contains",""
"3_1","Communication System","contains",""
"3_1","Capacitor","contains",""
"3_1","Transistor","contains",""
"3_1","BJT","contains",""
"3_1","Resistor","contains",""
"3_1","Beta","contains",""
"4_0","Circuit","contains",""
"4_0","Communication System","contains",""
"4_0","Capacitor","contains",""
"4_0","Transistor","contains",""
"4_0","Signal","contains",""
"4_0","BJT","contains",""
"4_0","Filter","contains",""
"4_0","Amplifier","contains",""
"4_0","Resistor","contains",""
"4_0","Beta","contains",""
